Epoch	Step	Loss	Accuracy	F1-Score
00000	00000	5.945498	0.031250	0.019048
00000	00013	4.068174	0.343750	0.102564
00000	00026	2.316728	0.656250	0.175000
00000	00039	2.973082	0.437500	0.060870
00000	00052	3.157573	0.562500	0.090000
00000	00065	1.868683	0.562500	0.065455
00000	00078	1.909513	0.531250	0.077098
00000	00091	1.516918	0.656250	0.130000
00000	00104	2.502898	0.468750	0.060606
00000	00117	2.235311	0.562500	0.076596
00000	00130	1.177837	0.656250	0.248106
00000	00143	1.556421	0.562500	0.081633
00000	00156	1.841096	0.500000	0.066116
00000	00169	1.167952	0.718750	0.334959
00000	00182	2.342424	0.500000	0.074074
00000	00195	1.184927	0.718750	0.202941
00000	00208	1.463869	0.625000	0.202899
00000	00221	1.846532	0.531250	0.075556
00000	00234	1.585699	0.531250	0.092391
00000	00247	1.554156	0.625000	0.173701
00000	00260	1.326822	0.625000	0.090703
00000	00273	1.307160	0.687500	0.095861
00000	00286	1.657176	0.625000	0.117386
00000	00299	1.174841	0.781250	0.318910
00000	00312	1.274071	0.500000	0.068085
00000	00325	0.895754	0.718750	0.150327
00000	00338	1.611434	0.593750	0.159091
00000	00351	1.189617	0.593750	0.079167
00000	00364	1.906753	0.437500	0.065116
00000	00377	1.219899	0.625000	0.206374
00000	00390	1.071950	0.750000	0.158333
00000	00403	1.061875	0.750000	0.268078
00000	00416	1.247977	0.750000	0.305115
00000	00429	1.155322	0.718750	0.230769
00000	00442	1.450760	0.593750	0.151190
00000	00455	1.734252	0.375000	0.055944
00000	00468	1.406722	0.656250	0.151773
00000	00481	1.303183	0.656250	0.185106
00000	00494	1.354237	0.437500	0.125000
00000	00507	1.414429	0.718750	0.171852
00000	00520	1.889474	0.562500	0.223171
00000	00533	1.681449	0.562500	0.062500
00000	00546	1.015511	0.781250	0.260284
00000	00559	1.322727	0.687500	0.203030
00000	00572	1.654302	0.468750	0.100000
00000	00585	1.622699	0.500000	0.067653
00000	00598	1.309068	0.656250	0.293023
00000	00611	1.350092	0.625000	0.143519
00000	00624	1.715515	0.375000	0.072055
00000	00637	1.608654	0.656250	0.377778
00000	00650	1.001286	0.718750	0.170343
00000	00663	1.154816	0.687500	0.316722
00000	00676	0.919916	0.750000	0.424868
00000	00689	1.389838	0.531250	0.120047
00000	00702	0.805059	0.750000	0.162500
00000	00715	1.138860	0.625000	0.208818
00000	00728	1.001327	0.718750	0.467151
00000	00741	1.115034	0.687500	0.300866
00000	00754	1.509718	0.625000	0.176596
00000	00767	1.123249	0.718750	0.215978
00000	00780	0.919923	0.781250	0.312500
00000	00793	1.160589	0.656250	0.280851
00000	00806	1.422893	0.656250	0.308655
00000	00819	1.093009	0.812500	0.471820
00000	00832	0.916306	0.875000	0.518375
00000	00845	1.510788	0.656250	0.144444
00000	00858	0.812973	0.562500	0.112124
00000	00871	1.373899	0.593750	0.281385
00000	00884	1.547758	0.593750	0.086168
00000	00897	0.915990	0.781250	0.146199
00000	00910	1.284968	0.656250	0.452279
00000	00923	1.756676	0.468750	0.055556
00000	00936	1.834214	0.468750	0.068182
00000	00949	1.465019	0.625000	0.314363
00000	00962	1.623299	0.437500	0.091986
00000	00975	1.514657	0.593750	0.105496
00000	00988	1.603727	0.562500	0.157895
00000	01001	1.318110	0.687500	0.223457
00000	01014	1.124436	0.687500	0.240741
00000	01027	1.278543	0.625000	0.120851
00000	01040	0.959319	0.812500	0.456851
00000	01053	1.451566	0.468750	0.121212
00000	01066	0.886912	0.812500	0.457971
00000	01079	1.177988	0.687500	0.192381
00000	01092	1.391574	0.562500	0.215100
00000	01105	1.626280	0.625000	0.225108
00000	01118	1.026347	0.687500	0.321417
00000	01131	1.494994	0.593750	0.223397
00000	01144	1.516592	0.468750	0.115152
00000	01157	1.052754	0.718750	0.088462
00000	01170	1.265419	0.500000	0.151994
00000	01183	0.778106	0.750000	0.306944
00000	01196	1.416872	0.593750	0.240733
00000	01209	1.331946	0.562500	0.095745
00000	01222	1.115456	0.687500	0.190627
00000	01235	0.935022	0.687500	0.118598
00000	01248	0.911500	0.781250	0.195035
00000	01261	0.958341	0.531250	0.082126
00000	01274	1.175313	0.625000	0.393750
00000	01287	2.113235	0.437500	0.054264
00000	01300	0.824971	0.843750	0.569524
00000	01313	0.836846	0.781250	0.219858
00000	01326	0.968204	0.718750	0.219008
00000	01339	1.267655	0.625000	0.152964
00000	01352	1.224485	0.718750	0.217602
00000	01365	1.187686	0.593750	0.126077
00000	01378	1.866236	0.500000	0.068376
00000	01391	1.014248	0.750000	0.340909
00000	01404	1.151122	0.687500	0.265152
00000	01417	1.754526	0.468750	0.063425
00000	01430	0.766603	0.781250	0.468182
00000	01443	1.232398	0.656250	0.331169
00000	01456	1.322795	0.468750	0.074074
00000	01469	1.007560	0.750000	0.262254
00000	01482	1.157678	0.687500	0.301389
00000	01495	1.397008	0.625000	0.128726
00000	01508	0.782735	0.781250	0.350000
00000	01521	1.392429	0.625000	0.088889
00000	01534	1.126619	0.750000	0.200680
00000	01547	1.222634	0.687500	0.277843
00000	01560	1.162776	0.687500	0.247619
00000	01573	1.137606	0.718750	0.485000
00000	01586	1.079159	0.437500	0.077778
00000	01599	1.105195	0.812500	0.371882
00000	01612	1.368792	0.562500	0.205239
00000	01625	1.142836	0.750000	0.454472
00000	01638	1.030959	0.750000	0.351732
00000	01651	1.405290	0.656250	0.162500
00000	01664	1.144956	0.718750	0.245455
00000	01677	1.787187	0.593750	0.146667
00000	01690	0.949365	0.781250	0.388000
00000	01703	1.287444	0.625000	0.241311
00000	01716	1.233931	0.593750	0.289394
00000	01729	1.497014	0.562500	0.374728
00000	01742	1.004343	0.687500	0.401058
00000	01755	1.264735	0.718750	0.116364
00000	01768	0.983667	0.750000	0.561472
00000	01781	0.794338	0.812500	0.362121
00000	01794	2.561673	0.468750	0.219516
00000	01807	1.293908	0.687500	0.277922
00000	01820	0.869091	0.750000	0.402469
00000	01833	1.127556	0.687500	0.366188
00000	01846	0.945511	0.781250	0.208667
00000	01859	1.517514	0.406250	0.067183
00000	01872	0.931524	0.750000	0.452381
00000	01885	1.358546	0.562500	0.139506
00000	01898	0.922697	0.812500	0.483598
00000	01911	1.019952	0.687500	0.351981
00000	01924	1.353832	0.531250	0.117571
00000	01937	2.051365	0.468750	0.165033
00000	01950	1.202149	0.656250	0.229707
00000	01963	1.328202	0.500000	0.161254
00000	01976	1.382916	0.562500	0.209656
00000	01989	1.117662	0.781250	0.367583
00000	02002	1.386733	0.593750	0.148579
00000	02015	0.830344	0.781250	0.385556
00000	02028	1.057504	0.687500	0.291375
00000	02041	1.226975	0.656250	0.153704
00000	02054	1.105827	0.687500	0.367766
00000	02067	1.286067	0.593750	0.179078
00000	02080	1.263427	0.656250	0.089744
00000	02093	0.578565	0.937500	0.804841
00000	02106	0.734302	0.812500	0.382475
00000	02119	0.709314	0.843750	0.633739
00000	02132	1.540609	0.687500	0.246489
00000	02145	1.581785	0.593750	0.196558
00000	02158	0.963175	0.718750	0.393773
00000	02171	1.507768	0.593750	0.192768
00000	02184	0.825945	0.843750	0.370547
00000	02197	0.915274	0.750000	0.327972
00000	02210	1.342086	0.625000	0.476424
00000	02223	1.034186	0.718750	0.306667
00000	02236	1.144132	0.625000	0.077369
00000	02249	0.601406	0.906250	0.675652
00000	02262	1.560084	0.687500	0.391892
00000	02275	1.286000	0.562500	0.142276
00000	02288	1.943224	0.593750	0.166300
00000	02301	1.248864	0.500000	0.072727
00000	02314	1.226956	0.718750	0.393009
00000	02327	1.534285	0.625000	0.245736
00000	02340	0.840446	0.812500	0.427910
00000	02353	1.343850	0.500000	0.071111
00000	02366	1.068554	0.750000	0.418363
00000	02379	1.184011	0.687500	0.283721
00000	02392	1.093462	0.718750	0.396901
00000	02405	1.336127	0.593750	0.206612
00000	02418	1.185715	0.406250	0.092949
00000	02431	0.850125	0.750000	0.270026
00000	02444	0.776181	0.750000	0.478723
00000	02457	0.793709	0.812500	0.335714
00000	02470	1.125379	0.718750	0.489583
00000	02483	1.944249	0.406250	0.107744
00000	02496	0.899343	0.781250	0.198718
00000	02509	1.211537	0.656250	0.103704
00000	02522	1.143919	0.718750	0.371138
00000	02535	0.966563	0.750000	0.356085
00000	02548	0.634087	0.812500	0.546970
00000	02561	1.080609	0.718750	0.411055
00000	02574	1.135195	0.687500	0.257143
00000	02587	0.887859	0.531250	0.109524
00000	02600	1.070336	0.656250	0.095238
00000	02613	1.384305	0.656250	0.242927
00000	02626	1.120389	0.781250	0.422898
00000	02639	1.245204	0.625000	0.266667
00000	02652	1.117382	0.656250	0.366667
00000	02665	0.861519	0.718750	0.623810
00000	02678	1.001200	0.750000	0.371635
00000	02691	1.532891	0.593750	0.143939
00000	02704	1.153757	0.781250	0.409524
00000	02717	0.916801	0.781250	0.406250
00000	02730	1.248440	0.531250	0.218034
00000	02743	1.087006	0.687500	0.153535
00000	02756	1.053491	0.625000	0.104167
00000	02769	0.822736	0.750000	0.319444
00000	02782	1.380402	0.718750	0.333030
00000	02795	1.434845	0.562500	0.145022
00000	02808	1.099698	0.593750	0.137411
00000	02821	1.639062	0.562500	0.145455
00000	02834	2.023302	0.500000	0.232119
00000	02847	1.258019	0.781250	0.469136
00000	02860	0.936699	0.750000	0.331525
00000	02873	1.243225	0.312500	0.050000
00000	02886	1.429048	0.656250	0.281504
00000	02899	1.126892	0.687500	0.340761
00000	02912	1.418499	0.625000	0.149306
00000	02925	1.240382	0.812500	0.347193
00000	02938	1.389372	0.531250	0.072340
00000	02951	1.155992	0.687500	0.370370
00000	02964	1.293349	0.625000	0.374185
00000	02977	1.019056	0.437500	0.105556
00000	02990	1.252498	0.406250	0.072222
00000	03003	1.389182	0.625000	0.248918
00000	03016	0.940369	0.781250	0.359690
00000	03029	0.855325	0.812500	0.301120
00000	03042	1.187010	0.687500	0.273148
00000	03055	0.811104	0.812500	0.500567
00000	03068	1.980955	0.437500	0.056566
00000	03081	1.071041	0.593750	0.137468
00000	03094	1.722455	0.593750	0.181818
00000	03107	1.153735	0.625000	0.293904
00000	03120	1.166957	0.625000	0.214286
00000	03133	0.726190	0.500000	0.077295
00000	03146	1.501237	0.468750	0.102453
00000	03159	0.988469	0.562500	0.090000
00000	03172	0.830768	0.718750	0.375926
00000	03185	1.681708	0.531250	0.104444
00000	03198	1.448820	0.562500	0.172619
00000	03211	1.722411	0.343750	0.044715
00000	03224	2.034029	0.437500	0.095960
00000	03237	1.471246	0.406250	0.056277
00000	03250	0.979634	0.781250	0.390000
00000	03263	0.891039	0.781250	0.359420
00000	03276	2.333291	0.468750	0.119658
00000	03289	1.365739	0.687500	0.417216
00000	03302	0.933855	0.750000	0.495017
00000	03315	1.299738	0.500000	0.066116
00000	03328	1.185718	0.656250	0.262927
00000	03341	0.623192	0.906250	0.709524
00000	03354	0.699618	0.843750	0.288889
00000	03367	0.783227	0.812500	0.512121
00000	03380	1.456541	0.593750	0.206349
00000	03393	0.829890	0.718750	0.292683
00000	03406	1.326040	0.718750	0.457412
00000	03419	1.913869	0.375000	0.135714
00000	03432	0.835294	0.843750	0.672619
00000	03445	0.851909	0.781250	0.431525
00000	03458	1.745857	0.406250	0.097849
00000	03471	1.173103	0.750000	0.417778
00000	03484	1.618623	0.531250	0.085859
00000	03497	0.587730	0.843750	0.560000
00000	03510	0.803048	0.781250	0.449187
00000	03523	1.753008	0.656250	0.275594
00000	03536	0.820468	0.875000	0.396154
00000	03549	1.866624	0.500000	0.071111
00000	03562	1.361312	0.437500	0.059197
00000	03575	1.001220	0.750000	0.204545
00000	03588	0.981186	0.781250	0.327899
00000	03601	1.451758	0.687500	0.451058
00000	03614	0.670907	0.843750	0.485714
00000	03627	0.928546	0.781250	0.354242
00000	03640	1.133702	0.718750	0.300000
00000	03653	1.617873	0.562500	0.166190
00000	03666	1.451598	0.593750	0.260073
00000	03679	0.585607	0.843750	0.622898
00000	03692	2.035100	0.468750	0.182018
00000	03705	0.896948	0.750000	0.352807
00000	03718	1.478037	0.687500	0.220290
00000	03731	1.236924	0.437500	0.059197
00000	03744	0.890206	0.843750	0.513228
00000	03757	1.118688	0.625000	0.324074
00000	03770	1.193540	0.625000	0.309091
00000	03783	0.860176	0.781250	0.444444
00000	03796	1.811820	0.437500	0.172236
00000	03809	0.833698	0.781250	0.634444
00000	03822	0.686295	0.906250	0.799176
00000	03835	0.901913	0.750000	0.375714
00000	03848	1.123765	0.656250	0.313390
00000	03861	1.267323	0.625000	0.256607
00000	03874	0.990895	0.781250	0.507143
00000	03887	1.500450	0.625000	0.200000
00000	03900	1.277877	0.687500	0.230567
00000	03913	1.860996	0.437500	0.101905
00000	03926	1.246228	0.656250	0.327778
00000	03939	1.178484	0.625000	0.197403
00000	03952	1.598138	0.687500	0.455992
00000	03965	1.729606	0.593750	0.130000
00000	03978	1.096772	0.500000	0.175000
00000	03991	0.851756	0.812500	0.573730
00000	04004	1.010230	0.750000	0.323961
00000	04017	1.035002	0.562500	0.091837
00000	04030	1.499345	0.625000	0.287619
00000	04043	1.167766	0.625000	0.226064
00000	04056	1.014217	0.750000	0.485185
00000	04069	1.312375	0.687500	0.166521
00000	04082	0.704111	0.875000	0.327381
00000	04095	0.790875	0.843750	0.548148
00000	04108	1.403842	0.562500	0.361998
00000	04121	0.751835	0.812500	0.654472
00000	04134	2.143221	0.500000	0.274550
00000	04147	1.380620	0.593750	0.308913
00000	04160	1.864888	0.500000	0.180962
00000	04173	1.074815	0.562500	0.130303
00000	04186	0.617892	0.875000	0.397872
00000	04199	1.458519	0.656250	0.182609
00000	04212	1.985653	0.437500	0.219048
00000	04225	1.092171	0.625000	0.087146
00000	04238	0.827445	0.750000	0.292381
00000	04251	0.736038	0.812500	0.358738
00000	04264	1.306112	0.687500	0.224242
00000	04277	1.537541	0.625000	0.216260
00000	04290	1.040218	0.781250	0.487528
00000	04303	1.087134	0.687500	0.176389
00000	04316	1.536711	0.281250	0.107843
00000	04329	0.931539	0.562500	0.075000
00000	04342	1.252524	0.593750	0.133333
00000	04355	1.045993	0.687500	0.474020
00000	04368	0.694545	0.812500	0.378614
00000	04381	1.894435	0.593750	0.202564
00000	04394	1.143946	0.718750	0.173913
00000	04407	0.831598	0.812500	0.450413
00000	04420	1.346089	0.718750	0.271212
00000	04433	0.887062	0.750000	0.517615
00000	04446	0.730815	0.781250	0.325355
00000	04459	1.201188	0.625000	0.226923
00000	04472	0.846989	0.625000	0.080000
00000	04485	1.833365	0.562500	0.246032
00000	04498	1.105326	0.718750	0.255556
00000	04511	1.045662	0.750000	0.289690
00000	04524	2.003634	0.468750	0.129630
00000	04537	1.157134	0.625000	0.161905
00000	04550	1.383166	0.718750	0.098291
00000	04563	0.793932	0.875000	0.571625
00000	04576	0.812222	0.750000	0.221304
00000	04589	1.518170	0.500000	0.139837
00000	04602	0.846183	0.750000	0.450055
00000	04615	1.044796	0.625000	0.234524
00000	04628	0.908008	0.781250	0.410853
00000	04641	1.783068	0.531250	0.093939
00000	04654	1.631623	0.593750	0.349797
00000	04667	1.774609	0.437500	0.127132
00000	04680	1.441108	0.562500	0.424793
00000	04693	0.852647	0.812500	0.446640
00000	04706	1.658737	0.406250	0.122619
00000	04719	1.451651	0.562500	0.177295
00000	04732	1.079558	0.750000	0.225253
00000	04745	1.625851	0.562500	0.236434
00000	04758	0.840118	0.781250	0.324579
00000	04771	1.125692	0.750000	0.351469
00000	04784	0.936375	0.750000	0.355556
00000	04797	0.960852	0.687500	0.445014
00000	04810	0.892721	0.750000	0.438528
00000	04823	1.110712	0.718750	0.280000
00000	04836	1.123538	0.718750	0.407895
00000	04849	0.806023	0.875000	0.377872
00000	04862	1.006860	0.750000	0.218338
00000	04875	0.821628	0.781250	0.447222
00000	04888	0.520980	0.937500	0.396491
00000	04901	0.697672	0.781250	0.512963
00000	04914	0.992136	0.718750	0.363721
00000	04927	0.998553	0.781250	0.426357
00000	04940	1.551021	0.562500	0.301190
00000	04953	1.195723	0.625000	0.257085
00000	04966	1.055829	0.750000	0.437984
00000	04979	0.854661	0.750000	0.252121
00000	04992	1.468259	0.687500	0.395109
00000	05005	1.189397	0.687500	0.347748
00000	05018	1.431230	0.687500	0.380952
00000	05031	0.854567	0.750000	0.376357
00000	05044	1.414272	0.750000	0.374612
00000	05057	0.684409	0.812500	0.668254
00000	05070	0.890016	0.781250	0.278986
00000	05083	1.277317	0.625000	0.216350
00000	05096	1.585994	0.468750	0.073171
00000	05109	0.846297	0.781250	0.486667
00000	05122	1.296598	0.625000	0.374801
00000	05135	0.902107	0.718750	0.464646
00000	05148	1.478073	0.656250	0.249094
00000	05161	0.921217	0.718750	0.401138
00000	05174	1.332629	0.718750	0.279221
00000	05187	1.079993	0.750000	0.431667
00000	05200	0.938364	0.750000	0.259964
00000	05213	1.804838	0.375000	0.047337
00000	05226	0.874618	0.687500	0.286195
00000	05239	1.069101	0.656250	0.209524
00000	05252	1.171035	0.687500	0.222763
00000	05265	1.195235	0.687500	0.213733
00000	05278	1.253891	0.718750	0.299096
00000	05291	1.126193	0.625000	0.275238
00000	05304	0.865423	0.750000	0.450205
00000	05317	1.414004	0.656250	0.335676
00000	05330	1.247598	0.531250	0.181701
00000	05343	1.130413	0.781250	0.408571
00000	05356	1.426014	0.593750	0.073501
00000	05369	1.604120	0.625000	0.173080
00000	05382	1.334391	0.750000	0.453030
00000	05395	0.988727	0.687500	0.373554
00000	05408	0.941456	0.687500	0.318182
00000	05421	1.649910	0.687500	0.347518
00000	05434	1.549680	0.656250	0.380000
00000	05447	1.048537	0.687500	0.365714
00000	05460	0.817001	0.812500	0.631525
00000	05473	0.691208	0.875000	0.476852
00000	05486	1.470636	0.656250	0.312263
00000	05499	2.014848	0.531250	0.266378
00000	05512	1.338140	0.593750	0.366052
00000	05525	1.294087	0.656250	0.197518
00000	05538	1.426508	0.375000	0.118234
00000	05551	1.076648	0.781250	0.254630
00000	05564	0.875457	0.750000	0.593362
00000	05577	1.464360	0.468750	0.128571
00000	05590	1.269881	0.656250	0.308658
00000	05603	1.706856	0.656250	0.269474
00000	05616	0.964283	0.781250	0.198718
00000	05629	1.369510	0.656250	0.312527
00000	05642	1.248914	0.656250	0.346667
00000	05655	1.174754	0.656250	0.218182
00000	05668	0.946528	0.687500	0.298004
00000	05681	1.219141	0.375000	0.081585
00000	05694	1.026434	0.781250	0.488372
00000	05707	1.352015	0.625000	0.132407
00000	05720	1.848767	0.406250	0.174550
00000	05733	1.071146	0.781250	0.324468
00000	05746	1.272774	0.687500	0.215000
00000	05759	1.270804	0.625000	0.214736
00000	05772	0.746560	0.812500	0.531552
00000	05785	1.530828	0.437500	0.111111
00000	05798	1.446557	0.718750	0.454487
00000	05811	0.595751	0.875000	0.562310
00000	05824	1.746289	0.562500	0.183911
00000	05837	1.171810	0.656250	0.259740
00000	05850	1.141105	0.687500	0.316140
00000	05863	1.120739	0.656250	0.227625
00000	05876	0.718003	0.843750	0.648677
00000	05889	1.450829	0.437500	0.068293
00000	05902	1.466275	0.687500	0.404647
00000	05915	1.053604	0.750000	0.406433
00000	05928	0.880375	0.718750	0.243386
